action_uid	circuit	action_scheme	mode_stack	h_patterns	m_patterns	repeat_measurement_count	source_candidate_uids	source_stages	outcome_conflict	outcome_conflict_fields
aes_core:HMF:h129:m100	aes_core	HMF	H64-M16-F4	129	100	1	aes_core:hmf_refine:H64-M16-F4:320	hmf_refine	false	
aes_core:HMF:h129:m102	aes_core	HMF	H64-M16-F4	129	102	1	aes_core:hmf_refine:H64-M16-F4:312	hmf_refine	false	
aes_core:HMF:h129:m103	aes_core	HMF	H64-M16-F4	129	103	1	aes_core:hmf_refine:H64-M16-F4:328	hmf_refine	false	
aes_core:HMF:h129:m104	aes_core	HMF	H64-M16-F4	129	104	1	aes_core:hmf_refine:H64-M16-F4:321	hmf_refine	false	
aes_core:HMF:h129:m105	aes_core	HMF	H64-M16-F4	129	105	1	aes_core:hmf_refine:H64-M16-F4:307	hmf_refine	false	
aes_core:HMF:h129:m99	aes_core	HMF	H64-M16-F4	129	99	1	aes_core:hmf_refine:H64-M16-F4:306	hmf_refine	false	
aes_core:HMF:h130:m103	aes_core	HMF	H64-M16-F4	130	103	1	aes_core:hmf_refine:H64-M16-F4:335	hmf_refine	false	
aes_core:HMF:h130:m93	aes_core	HMF	H64-M16-F4	130	93	1	aes_core:hmf_refine:H64-M16-F4:348	hmf_refine	false	
aes_core:HMF:h130:m98	aes_core	HMF	H64-M16-F4	130	98	1	aes_core:hmf_refine:H64-M16-F4:349	hmf_refine	false	
aes_core:HMF:h135:m93	aes_core	HMF	H64-M16-F4	135	93	1	aes_core:hmf_refine:H64-M16-F4:352	hmf_refine	false	
aes_core:HMF:h135:m98	aes_core	HMF	H64-M16-F4	135	98	1	aes_core:hmf_refine:H64-M16-F4:353	hmf_refine	false	
aes_core:HMF:h140:m93	aes_core	HMF	H64-M16-F4	140	93	1	aes_core:hmf_refine:H64-M16-F4:357	hmf_refine	false	
aes_core:HMF:h159:m1	aes_core	HMF	H64-M16-F4	159	1	1	aes_core:hmf_coarse:H64-M16-F4:85	hmf_coarse	false	
aes_core:HMF:h159:m13	aes_core	HMF	H64-M16-F4	159	13	1	aes_core:hmf_coarse:H64-M16-F4:86	hmf_coarse	false	
aes_core:HMF:h159:m26	aes_core	HMF	H64-M16-F4	159	26	1	aes_core:hmf_refine:H64-M16-F4:134	hmf_refine	false	
aes_core:HMF:h159:m27	aes_core	HMF	H64-M16-F4	159	27	1	aes_core:hmf_coarse:H64-M16-F4:87	hmf_coarse	false	
aes_core:HMF:h159:m40	aes_core	HMF	H64-M16-F4	159	40	1	aes_core:hmf_coarse:H64-M16-F4:88	hmf_coarse	false	
aes_core:HMF:h159:m46	aes_core	HMF	H64-M16-F4	159	46	1	aes_core:hmf_refine:H64-M16-F4:214	hmf_refine	false	
aes_core:HMF:h159:m47	aes_core	HMF	H64-M16-F4	159	47	1	aes_core:hmf_refine:H64-M16-F4:135	hmf_refine	false	
aes_core:HMF:h159:m54	aes_core	HMF	H64-M16-F4	159	54	1	aes_core:hmf_coarse:H64-M16-F4:89	hmf_coarse	false	
aes_core:HMF:h159:m67	aes_core	HMF	H64-M16-F4	159	67	2	aes_core:hmf_coarse:H64-M16-F4:90|aes_core:hmf_refine:H64-M16-F4:215	hmf_coarse|hmf_refine	false	
aes_core:HMF:h159:m68	aes_core	HMF	H64-M16-F4	159	68	1	aes_core:hmf_refine:H64-M16-F4:136	hmf_refine	false	
